fips_code,years,y_true,lr_preds,ffill_preds,yr_mean_preds,county_mean_preds,euc_preds,hav_preds,euc_exp_smooth_preds,hav_exp_smooth_preds,k_Nearest_One_pred,k5_Nearest_Mean_pred,k5_Weighted_pred,kRad_Mean_pred
37197,2007,92.0,115.19859700048391,155.0,90.7108695652174,137.8628318584071,121.38916256052897,122.06276111829315,94.78530431353883,94.95335554461016,69.0,88.6,89.10505129774816,79.92857142857143
38003,2000,113.9,98.64105763517546,99.1,82.07826086956523,131.31392722710166,130.3468707868597,130.57661208753876,124.86241427767197,123.94117433667387,116.8,115.85999999999999,114.38154366714038,114.85454545454546
38017,1985,76.2,77.86190476190404,66.9,95.78695652173913,111.6290726817042,106.87063400049335,106.38191519134517,90.2133396318202,88.30945825166889,75.0,69.58,69.31217712236631,71.19285714285715
38021,1988,57.5,80.68412134138998,94.0,93.12391304347828,78.64467005076148,76.37427021472502,75.24481351623234,64.46183924101031,63.55082830955312,49.5,43.66,44.888783758443445,48.76153846153847
38029,1986,82.2,65.59303624480071,102.7,75.76739130434783,109.79319899244337,110.94522344086641,111.0981477386983,96.55239934328677,98.95835429990963,60.0,72.92,70.55108839969571,72.92
38035,1970,56.0,42.35594202898528,51.0,86.78260869565219,69.15112781954888,68.32173563226877,68.83393815648678,60.491657243514176,61.154061243178944,54.0,47.0,48.44277371381681,45.333333333333336
38077,2007,120.7,131.40909530720774,138.5,101.32608695652173,137.8628318584071,140.34811957037567,139.3768669428186,133.8263323331364,131.43193361633053,113.0,126.68000000000002,125.29717429051038,125.91739130434782
38081,2015,145.7,147.27644110275742,148.4,92.8891304347826,161.56754716981126,168.2009507679583,167.81286055817372,166.75410266074707,165.92373978079,160.5,153.88000000000002,153.79393154130304,159.3722222222222
38093,1997,78.7,87.5535511363637,82.8,79.37608695652173,117.3501891551072,118.69332404441315,118.79738238115783,111.54619764819739,111.19754730656948,88.7,91.6,91.28862156711014,91.6125
38097,2012,126.5,132.7383685054915,108.1,94.40652173913043,117.29074778200246,125.89886305064908,125.98739295504251,134.45838701189038,134.04569855155978,121.8,131.72,131.05732711903494,140.12
39001,1982,90.5,87.72814335371004,77.6,103.67826086956521,106.70973451327433,108.94559325021771,109.16080671694897,107.33585930563713,107.89712273529085,105.9,105.23999999999998,103.20639032950331,110.08214285714287
39003,1995,130.5,128.46290780141817,157.7,125.5695652173913,108.26111111111109,113.19452002956882,113.11677986125605,120.60442206442428,120.32516488895848,131.6,123.42,124.0752427715668,121.96428571428571
39007,1971,65.0,77.13358395989962,82.0,110.15869565217392,80.83089533417407,80.96176912056559,81.78383618293924,79.11482657693273,80.2503915291687,72.0,78.4,77.20278603890992,78.72727272727273
39009,2001,113.4,122.38342857142834,143.6,106.28478260869566,131.6332493702771,130.26753698790216,131.10770624465223,126.52574041368267,128.2562665069235,114.3,124.64000000000001,122.70944836385262,128.4157894736842
39011,2012,104.5,154.18380846599985,165.4,122.4304347826087,117.29074778200246,112.56116063373402,113.18962322406664,114.7861201164806,115.28939496673283,111.1,122.3,121.66695269413727,114.91
39015,2014,171.3,154.26129876604773,172.6,114.51739130434785,165.62578616352187,168.71298803997269,169.0500154204063,169.0091517285125,168.98380194507914,143.3,170.78000000000003,167.3431331888879,174.1081081081081
39017,2004,166.2,132.05230732350446,146.3,115.16739130434782,150.16362484157176,153.93378499499227,154.5104205711903,160.51806534448292,160.89370325652402,172.4,167.20000000000002,167.5451857419998,159.85555555555553
39021,2007,174.3,151.0136671504597,166.3,127.46956521739129,137.8628318584071,140.4551611369329,141.20619410187754,149.92387998147834,149.85350546414668,160.2,162.44,161.90390180410594,145.10943396226415
39023,2015,177.5,174.19065162907282,195.0,131.4978260869565,161.56754716981126,158.72300646134897,159.08359909675784,164.19028489362097,163.3892252017695,179.9,173.14000000000001,175.00398292217983,153.97
39027,1997,141.7,142.13702651515223,120.9,133.8413043478261,117.3501891551072,117.6266517856514,117.66004400510379,123.49033996915686,122.84322901298127,125.4,130.14000000000001,130.6203726644237,121.39756097560974
39029,1996,109.8,117.54283855706626,108.2,113.38043478260872,118.53211586901764,115.55675988400985,116.14171981760559,116.09397731635717,115.74399004938059,121.8,116.28,117.38880842245001,113.73499999999999
39031,1978,106.9,103.24885301614268,106.9,122.90652173913045,94.24247787610607,95.40574569108566,96.12092901226224,97.52761233713338,98.0680165721321,96.3,97.47999999999999,97.543371847013,101.12258064516126
39033,1997,139.3,138.19124053030328,118.9,130.50434782608698,117.3501891551072,119.55904090763755,119.96916864731624,126.5785917323008,126.39245351809679,135.7,128.26,128.26708912142232,134.16590909090908
39037,2014,183.8,162.20990901159166,173.3,126.3826086956522,165.62578616352187,172.5474010170565,172.9225974926087,179.74292738050642,179.67789140270142,179.6,180.76,180.52554057714843,183.6103448275862
39039,2006,145.4,138.27820373719123,154.2,117.51304347826088,140.72725000000003,148.5463236909009,148.8097902026506,155.9795128039233,156.49551301423222,150.6,164.18,162.51916822238692,156.42549019607844
39041,2012,132.8,153.5741824015795,152.0,120.29565217391303,117.29074778200246,115.1881811300989,115.20581163528583,123.06855474753522,122.93370878458117,135.5,135.92000000000002,136.2255205244209,123.04468085106383
39045,1993,118.5,123.99130434782592,148.1,123.99130434782607,91.97652284263961,100.72375336453466,101.18359980361724,109.35721825157938,110.12598277001757,116.1,119.62,119.32220062235837,111.05000000000001
39051,1986,139.8,119.84803327391546,132.7,132.19782608695652,109.79319899244337,115.29728743352598,115.88591264962028,124.63704549223547,124.64432956923231,145.1,130.76,131.27376206757828,124.01555555555557
39057,2009,188.6,162.5538986354777,141.0,131.3108695652174,156.1647727272727,161.91356691636537,162.31053550458853,174.1902060683934,173.8422612953524,191.7,180.58,181.26209475120896,171.83043478260868
39063,2000,147.2,137.04602495543668,148.4,126.15217391304348,131.31392722710166,136.7154840738634,136.93885180469226,143.06308732629157,142.9353072866887,151.1,147.64,147.8603810676489,143.0450980392157
39065,1979,114.5,100.97375423318817,102.2,123.78043478260871,102.22770186335399,107.38336073676975,107.76370694683284,114.88492486382688,114.92087290455372,115.0,119.41999999999999,119.31103795853271,115.78750000000001
39069,1974,70.2,103.63217326915992,80.3,134.4804347826087,69.18417085427141,70.02536001098481,69.97121680118742,68.05068908489012,67.5921993116412,77.8,68.14000000000001,67.80282412787436,65.07959183673469
