,fips_code,longitude,latitude
205,28149,-90.8519973802,32.3572634266
206,28151,-90.9474870679,33.2837811352
207,28163,-90.3964016883,32.7803308888
208,29019,-92.3096756391,38.9906163553
209,29023,-90.4065787712,36.7164200805
210,29027,-91.9260210016,38.8355180086
211,29033,-93.5051786104,39.4269818158
212,29041,-92.9626448364,39.515095639
213,29069,-90.0909121802,36.2721076972
214,29083,-93.7927452624,38.3851698856
215,29113,-90.960066638,39.0580336637
216,29157,-89.8244197657,37.7071682356
217,29171,-93.0161670035,40.4789130773
218,29189,-90.4433721338,38.6405371802
219,29207,-89.9443032765,36.8555947585
220,29227,-94.4220935894,40.4790908515
221,30009,-109.028133769,45.2273729919
222,30029,-114.049668682,48.2951463754
223,30047,-114.089360279,47.6459095805
224,30053,-115.405179063,48.5424422701
225,30073,-112.226339301,48.2277637079
226,30083,-104.56142216,47.7879148998
227,31049,-102.333794908,41.1115629448
228,31091,-101.135296935,41.916048918
229,31117,-101.060517609,41.5681512199
230,33007,-71.3056348,44.6895702616
231,33017,-71.028841909,43.2969570021
232,34019,-74.912263187,40.567288941
233,34021,-74.701751548,40.2834439596
234,34027,-74.5445066912,40.8619850636
235,34031,-74.3008402168,41.0344525421
236,34033,-75.3490512856,39.5876152926
237,34041,-74.9972754704,40.8571265171
238,35011,-104.412028174,34.3424598136
239,35029,-107.749848843,32.1822455134
240,35033,-104.945373433,36.0103309905
241,35045,-108.320621846,36.5085240035
242,36025,-74.9664691138,42.1980692529
243,36045,-75.9209795491,44.0494440521
244,36051,-77.7754935192,42.7280621716
245,36053,-75.6696484439,42.9127673265
246,36059,-73.5864038577,40.7328024144
247,36065,-75.4358493472,43.241737093
248,36075,-76.1413602237,43.4269238294
249,36077,-75.0325964795,42.6337539697
250,36103,-72.8448123069,40.8686098643
251,37009,-81.500507775,36.4344734118
252,37017,-78.5636387415,34.6145874563
253,37023,-81.7047612888,35.7496065599
254,37027,-81.5464103522,35.9530302441
255,37047,-78.655020715,34.2655818536
256,37091,-76.9820027478,36.3590654839
257,37095,-76.2508054552,35.5304858022
258,37105,-79.1714855681,35.4751880981
259,37115,-82.7057696128,35.8580132796
260,37121,-82.1636411839,36.0133000116
261,37139,-76.2839869748,36.2954736275
262,37155,-79.1038948033,34.6401593622
263,37163,-78.3713881851,34.9915501941
264,37193,-81.1633953116,36.20627587
265,37199,-82.3076242585,35.8989388599
266,38071,-98.7201221017,48.2689368401
267,38079,-99.8409663029,48.7724542939
268,38085,-101.04041128,46.1126632623
269,38097,-97.1616104417,47.4541801693
270,38105,-103.480230164,48.3436885982
271,39051,-84.1300815494,41.6018162453
272,39061,-84.5427756719,39.1955387793
273,39095,-83.6582535628,41.6199132754
274,39123,-83.140846447,41.538103505
275,40011,-98.4334411071,35.8752132863
276,40065,-99.4148190748,34.5879727385
277,40079,-94.7034185717,34.9003109988
278,40089,-94.771267499,34.1154198108
279,40117,-96.6993000085,36.3169177936
280,40133,-96.6155201884,35.1674850437
281,41003,-123.429287093,44.4917873357
282,41007,-123.655835667,45.9951019828
283,41021,-120.210782697,45.3782839007
284,41033,-123.555468497,42.3654849604
285,41035,-121.650122241,42.6863639802
286,41039,-122.847486316,43.9388095814
287,41043,-122.534987723,44.4888756052
288,41045,-117.623153092,43.1933927951
289,41047,-122.584897244,44.9033162666
290,41061,-118.008811147,45.3102462862
291,42003,-79.9811937117,40.4688285649
292,42017,-75.1067851434,40.3368679788
293,42041,-77.2655326265,40.163626428
294,42055,-77.7212813099,39.9274034932
295,42061,-77.9812069534,40.4169532215
296,42071,-76.2477294465,40.0424334975
297,42095,-75.3073992951,40.7542212103
298,42099,-77.2623084797,40.3983964887
299,42113,-76.5122350245,41.4461584412
300,42133,-76.7265279133,39.9199623675
301,44005,-71.2367956925,41.556386859
302,45005,-81.3583003787,32.9881528694
303,45009,-81.0542418826,33.2147980923
304,45029,-80.6668926658,32.8636157242
305,45047,-82.1259216177,34.1538193587
306,45053,-81.0315143304,32.4367015078
307,45077,-82.7253091634,34.8874779385
308,45087,-81.6194088419,34.6892740974
309,45091,-81.184411421,34.9747440339
310,46075,-100.689710103,43.9605941756
311,46095,-100.759979046,43.5812730326
312,46103,-102.82387264,44.0037563063
313,46111,-98.0913487463,44.0234194165
314,46117,-100.735915993,44.4123070114
315,47003,-86.4588893017,35.5138042367
316,47021,-87.0867548715,36.261139674
317,47031,-86.0747529188,35.4906186728
318,47041,-85.832766548,35.9798510667
319,47045,-89.4137724223,36.0590503929
320,47055,-87.0347947546,35.2021466213
321,47065,-85.1647957463,35.1808296781
322,47085,-87.775624544,36.040825646
323,47089,-83.4462965854,36.0509836395
324,47123,-84.2527337736,35.4426464723
325,47129,-84.6491975283,36.1350080982
326,47143,-84.9243978803,35.6087214598
327,47147,-86.8705833444,36.5254783056
328,47167,-89.7592079317,35.4968700701
329,47187,-86.8985952663,35.8937726603
