fips_code,years,y_true,lr_preds,ffill_preds,yr_mean_preds,county_mean_preds,euc_idw1_preds,hav_idw1_preds,euc_idw2_preds,hav_idw2_preds,k1_Nearest_pred,k5_Nearest_pred,k5_Weighted_pred,kRad_Mean_pred
27105,2002,44.0,43.030919962002145,38.0,38.37446808510638,38.05431309904151,41.53719579299349,41.814111928127545,44.76837219249883,44.7327100900975,51.4,46.9,47.023448163601444,44.55111111111111
27107,1981,31.0,22.844525506270884,18.0,27.736170212765956,32.245238095238115,32.723763345896536,32.660673694239435,31.22180604671143,31.19095655030969,31.0,29.96,30.215674219412378,29.775
27109,1973,25.0,25.28667222232957,27.0,39.53829787234043,27.588871224165377,28.751881859873016,28.721512172313304,28.843337682800772,28.812437511398993,26.0,27.4,27.25111193700666,29.364285714285714
27111,2003,30.0,34.50638309785552,35.0,30.13404255319149,33.97749196141477,32.445660450000354,32.293884015859625,30.450889333252746,30.0529494633022,25.0,27.4,27.525473458292566,28.94090909090909
27119,2017,38.0,36.48751156336721,43.6,27.24468085106383,50.97823343848581,50.25122457461373,50.15310239510722,44.983105379305194,44.87150994586461,36.2,38.06,37.67218365263647,38.65
27121,2005,42.0,38.74010913796019,33.0,32.0595744680851,43.57907348242812,44.83727088256434,44.677953854582796,43.80974782935618,43.32181364762282,44.0,42.6,42.40905833262004,41.99285714285714
27127,1973,29.0,27.589552123103203,30.0,38.86595744680851,27.588871224165377,28.651566832299128,28.5739163127933,28.897820063394253,28.719402752851956,30.0,27.0,27.136597637734056,29.279999999999998
27129,1995,44.0,39.38376734988083,44.0,38.59148936170213,35.926399999999994,38.41401094551689,38.58797057299942,40.545427085565244,40.52148643732649,43.0,42.4,42.414146097201325,40.022222222222226
27131,1971,24.0,28.29993344165382,27.0,40.202127659574465,26.614240506329132,26.20723865088238,26.021654903793618,24.91598519162237,24.622266687349644,22.0,24.2,24.093359912077467,24.10888888888889
27133,1986,31.0,35.71035457300627,34.0,40.361702127659576,34.422698412698416,36.09985002695096,36.16838859140708,36.447515472852,36.11174537001891,39.9,33.38,33.86075890062767,36.199999999999996
27139,1990,39.0,36.65627509389981,41.0,38.50425531914894,35.05136876006446,37.560850750980926,37.7130489134217,39.622557743991536,39.72685423295009,42.0,41.0,41.061776577068436,39.2953488372093
27143,2011,38.7,48.78754853394037,52.2,39.86382978723404,43.5489731437599,43.980363387018926,44.03534288608385,41.65458247487156,41.62124895733708,42.5,38.86,38.84975232971883,41.53958333333333
27145,1998,43.0,34.363582658938185,39.0,31.8531914893617,39.35388272583201,41.547232795074514,41.49907699210014,41.43683031947615,40.996144387363074,39.0,37.6,37.82431843838394,40.53125
